path,category,subsystem,bytes,sha256,lines,method,review_depth,declarations,markers
.agents/AGENTS.md,documentation/instructions: content excluded from behavioral evidence,.agents,408,855cf0cb01cde69d7adf3e3456ec36ca2465ab569d19ea213b02f0e00173ce36,6,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.cursor/rules/acceptance-criteria-handoff.mdc,other text/resource: explicit inventory; semantics not inferred,.cursor,1672,466849e314f954dbfdeff2421226a3ee8fec88b03ee5c542c11ec7f798cd504f,36,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.cursor/rules/network-safety.mdc,other text/resource: explicit inventory; semantics not inferred,.cursor,2042,173710ca8e0667bb9f78ae3896e274c6a486f49c04fefb05b3922323d0fd842a,39,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.cursor/rules/no-filler-scaffolds.mdc,other text/resource: explicit inventory; semantics not inferred,.cursor,1884,9a40e2638eff2c5366241e8fe9e6f231089959548d198a23b8876ecc449e191e,35,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.cursor/rules/sprint-documentation.mdc,other text/resource: explicit inventory; semantics not inferred,.cursor,1362,7d30545fee5d636b4aa171572a0bd310226cfca48d75cbcc921571210dd26ef0,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.cursor/rules/sprint-verify-and-commit.mdc,other text/resource: explicit inventory; semantics not inferred,.cursor,1235,f27d66ffd55ff01080b0168ec4b08555c228f129758cd90907caecede5fed563,25,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.github/ISSUE_TEMPLATE/bug_report.md,documentation/instructions: content excluded from behavioral evidence,.github,640,76078a580b7c618cc2154d3fb2a43a82d56c04404be26cb8cecf0e046856bfc6,27,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.github/ISSUE_TEMPLATE/feature_request.md,documentation/instructions: content excluded from behavioral evidence,.github,619,7c7cccf6150b19082bc3432545116bebbf3d410bf3162fb21377a8d55eb9b4b4,19,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.github/PULL_REQUEST_TEMPLATE.md,documentation/instructions: content excluded from behavioral evidence,.github,1187,6bf1f990aec4079d528254cf658d550821d5b456f4cd243a54575baa6e5580ef,27,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.github/SECURITY.md,documentation/instructions: content excluded from behavioral evidence,.github,1237,a31ec638eac326ef9d56ec1195920f1d1cb690703c6563b019005f3c88e3fb8a,36,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
.github/workflows/engine-ci.yml,configuration/schema/workflow/data: structured text scan,.github,2114,564c98fdc5214553b497cc4627a9a1045a433958e255ded780b2abc33fbed4c1,86,all lines scanned for declarations/imports/control/storage markers,selected implementation/call-path review with narrative source anchors; not every statement verified,0,0
.github/workflows/release.yml,configuration/schema/workflow/data: structured text scan,.github,6192,a93ce2cc28d4070509b8331830c3cdbe83e2d48e7da4cfa19b7d90674110ebc2,189,all lines scanned for declarations/imports/control/storage markers,mechanical; see source-cited narrative for semantic tracing,2,0
.gitignore,other text/resource: explicit inventory; semantics not inferred,.gitignore,474,7e1e2e64d6ccfdd2f449db6d54baff19d4f2adfff8a128f71838fcf27bc72408,34,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
CONTRIBUTING.md,documentation/instructions: content excluded from behavioral evidence,CONTRIBUTING.md,2693,a47fc369285cc1cf452afb5a5839abeb8e641c6b2ea348ce64cc6ddbf6704b0e,52,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
LICENSE,documentation/instructions: content excluded from behavioral evidence,LICENSE,7687,2c145605e6f8614bc5870ad05c25c51b84a9ce2ee050c96248f564acd108dac8,154,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
README.md,documentation/instructions: content excluded from behavioral evidence,README.md,7353,c3bce8c5f75c37a3035534f94ce15191423ff8cc5dc844613de52a1d85132e96,141,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/CHARTER.md,documentation/instructions: content excluded from behavioral evidence,docs,10797,6302d40ced54a7fdd33a4e208a1e17e039e56997b9742004da3038973eee39c9,193,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/README.md,documentation/instructions: content excluded from behavioral evidence,docs,6389,21834c5b791ec4a93a33c9fb203b7b547f5c92c8f7028fd97b49836715d7a473,81,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/audits/2026-09-24/.gitignore,other text/resource: explicit inventory; semantics not inferred,docs,22,061eff2bfecce7351cb0191ff0e2220a434f8a34c5fe45ccc1e3a21f03a6e3a5,2,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/audits/2026-09-24/README.md,documentation/instructions: content excluded from behavioral evidence,docs,7748,189820b970c11023db245cab0b47a058e746fb466bb3bf66a02a5f6411b793e1,74,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/audits/2026-09-24/findings.md,documentation/instructions: content excluded from behavioral evidence,docs,28629,f78985de95e6f6b08a8f442117b2e2d8297e4fc62751e7e1dcefc3c89c1ea619,245,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/audits/2026-09-24/inventory.json,configuration/schema/workflow/data: structured text scan,docs,9555,c89ee188fb5482345eb802357eca085074523ecf87acac0a895ab64f303ea85c,386,all lines scanned for declarations/imports/control/storage markers,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/audits/2026-09-24/migration-plan.md,documentation/instructions: content excluded from behavioral evidence,docs,12074,cff44b7f99822595e045e4937e04475cc50050ea3234c1e9f6619a954ead136e,123,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/audits/2026-09-24/probes/Cargo.lock,"generated dependency lock: resolved inputs, not execution",docs,91294,0e5ded1870ae799ce779e241cbb97b527cb831fe4f6d48f003aa1d1258cb92c0,3772,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/audits/2026-09-24/probes/Cargo.toml,Cargo manifest: package/build/dependency configuration,docs,476,24ed260b356346a7abfb8b386d82bb8667b622b0426f4e8979e456197a38b692,15,all lines scanned for declarations/imports/control/storage markers,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/audits/2026-09-24/probes/src/lib.rs,"isolated historical audit probe, not engine production code",docs,5445,e65c29e0ccf3244e31d62cae3d90033f764dc133cf5d0808d3f99baea562ddcb,151,all lines scanned for declarations/imports/control/storage markers,mechanical; see source-cited narrative for semantic tracing,12,1
docs/architecture/audits/2026-09-24/target-architecture.md,documentation/instructions: content excluded from behavioral evidence,docs,15950,dd140fa5f74486f3f5cdad49822bcda7e845607705faa3aa648bc9c22b2305b0,172,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/live-agent-architecture.md,documentation/instructions: content excluded from behavioral evidence,docs,9200,c5cca0696cec3c022668b5c1b3e73b7b3021624b4fa56559f2af681aadf7dbec,127,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/mvp-village-engine-spec.md,documentation/instructions: content excluded from behavioral evidence,docs,6795,462642dacf7919aa3cd630e8b433e4158fdd9faf2e3a59ffb87a42a0d0949fa7,151,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/architecture/tetonic-world-protocol.md,documentation/instructions: content excluded from behavioral evidence,docs,6369,b62c9e29d7b4e4901584095323cd494518b227d922999b7779debe167efced74,212,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/engineering/QUALITY-DEBT.md,documentation/instructions: content excluded from behavioral evidence,docs,6848,7c496e762564cc1afe9419e9ad5450b35d1325f2d6dae3b182ed9a32eb04fda9,106,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/engineering/QUALITY-GATE.md,documentation/instructions: content excluded from behavioral evidence,docs,18686,edb6d66548b1936b80f906566c1bbf783991b422eb900a509d6b0bf4b1267213,331,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/.gitkeep,other text/resource: explicit inventory; semantics not inferred,docs,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,1,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/README.md,documentation/instructions: content excluded from behavioral evidence,docs,4661,c3064129e97b823813fd0c3abe27ba1e2fb688c91b769ab9a615cc3a1c04b774,56,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-1-continuous-cognition/SAE-101-domain-exports.md,documentation/instructions: content excluded from behavioral evidence,docs,1107,5149f6fb65ce22bfd3fe9045fad4cd70d11c79d4bdcafc5890c18607f4c5a7d2,21,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
