path,package,category,proposed_disposition,review_depth,bytes,sha256
.agents/AGENTS.md,,repository-support,retain-review-in-context,mechanical-census,408,855cf0cb01cde69d7adf3e3456ec36ca2465ab569d19ea213b02f0e00173ce36
.cursor/rules/acceptance-criteria-handoff.mdc,,repository-support,retain-review-in-context,mechanical-census,1672,466849e314f954dbfdeff2421226a3ee8fec88b03ee5c542c11ec7f798cd504f
.cursor/rules/network-safety.mdc,,repository-support,retain-review-in-context,mechanical-census,2042,173710ca8e0667bb9f78ae3896e274c6a486f49c04fefb05b3922323d0fd842a
.cursor/rules/no-filler-scaffolds.mdc,,repository-support,retain-review-in-context,mechanical-census,1884,9a40e2638eff2c5366241e8fe9e6f231089959548d198a23b8876ecc449e191e
.cursor/rules/sprint-documentation.mdc,,repository-support,retain-review-in-context,mechanical-census,1362,7d30545fee5d636b4aa171572a0bd310226cfca48d75cbcc921571210dd26ef0
.cursor/rules/sprint-verify-and-commit.mdc,,repository-support,retain-review-in-context,mechanical-census,1235,f27d66ffd55ff01080b0168ec4b08555c228f129758cd90907caecede5fed563
.github/ISSUE_TEMPLATE/bug_report.md,,delivery-tooling,retain-review-in-context,mechanical-census,640,76078a580b7c618cc2154d3fb2a43a82d56c04404be26cb8cecf0e046856bfc6
.github/ISSUE_TEMPLATE/feature_request.md,,delivery-tooling,retain-review-in-context,mechanical-census,619,7c7cccf6150b19082bc3432545116bebbf3d410bf3162fb21377a8d55eb9b4b4
.github/PULL_REQUEST_TEMPLATE.md,,delivery-tooling,retain-review-in-context,mechanical-census,1187,6bf1f990aec4079d528254cf658d550821d5b456f4cd243a54575baa6e5580ef
.github/SECURITY.md,,delivery-tooling,retain-review-in-context,mechanical-census,1237,a31ec638eac326ef9d56ec1195920f1d1cb690703c6563b019005f3c88e3fb8a
.github/workflows/engine-ci.yml,,delivery-tooling,retain-review-in-context,mechanical-census,2114,564c98fdc5214553b497cc4627a9a1045a433958e255ded780b2abc33fbed4c1
.github/workflows/release.yml,,delivery-tooling,retain-review-in-context,mechanical-census,6192,a93ce2cc28d4070509b8331830c3cdbe83e2d48e7da4cfa19b7d90674110ebc2
.gitignore,,repository-support,retain-review-in-context,mechanical-census,474,7e1e2e64d6ccfdd2f449db6d54baff19d4f2adfff8a128f71838fcf27bc72408
CONTRIBUTING.md,,repository-support,retain-review-in-context,mechanical-census,2693,a47fc369285cc1cf452afb5a5839abeb8e641c6b2ea348ce64cc6ddbf6704b0e
LICENSE,,repository-support,retain-review-in-context,mechanical-census,7687,2c145605e6f8614bc5870ad05c25c51b84a9ce2ee050c96248f564acd108dac8
README.md,,repository-support,retain-review-in-context,mechanical-census,7353,c3bce8c5f75c37a3035534f94ce15191423ff8cc5dc844613de52a1d85132e96
docs/CHARTER.md,,documentation,retain-review-in-context,mechanical-census,10797,6302d40ced54a7fdd33a4e208a1e17e039e56997b9742004da3038973eee39c9
docs/architecture/README.md,,documentation,retain-review-in-context,mechanical-census,6389,21834c5b791ec4a93a33c9fb203b7b547f5c92c8f7028fd97b49836715d7a473
docs/architecture/audits/2026-09-24/.gitignore,,documentation,retain-review-in-context,mechanical-census,22,061eff2bfecce7351cb0191ff0e2220a434f8a34c5fe45ccc1e3a21f03a6e3a5
docs/architecture/audits/2026-09-24/README.md,,documentation,retain-review-in-context,mechanical-census,7748,189820b970c11023db245cab0b47a058e746fb466bb3bf66a02a5f6411b793e1
docs/architecture/audits/2026-09-24/findings.md,,documentation,retain-review-in-context,mechanical-census,28629,f78985de95e6f6b08a8f442117b2e2d8297e4fc62751e7e1dcefc3c89c1ea619
docs/architecture/audits/2026-09-24/inventory.json,,documentation,retain-review-in-context,mechanical-census,9555,c89ee188fb5482345eb802357eca085074523ecf87acac0a895ab64f303ea85c
